"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.102556492481528,41.53547,499,500,6,5,1
0.0158936467525754,85.859014,2499,500,6,5,1
0.00857562114422099,61.390356,4999,500,6,5,1
0.246931026931858,65.488774,499,1000,6,5,1
0.0180218493703432,84.320556,2499,1000,6,5,1
0.0199023929270556,181.184449,4999,1000,6,5,1
0.169388658368447,89.17292,499,50,9,5,1
0.0699195064715249,84.40028,2499,50,9,5,1
0.110352824174284,223.46946,4999,50,9,5,1
0.13896314196519,77.294026,499,500,9,5,1
0.00999929734550044,99.189182,2499,500,9,5,1
0.0264880070364948,174.776032,4999,500,9,5,1
0.0372430940428089,62.169508,499,1000,9,5,1
0.00684518474178978,91.150488,2499,1000,9,5,1
0.00787471958085827,86.760465,4999,1000,9,5,1
0.353869730107941,77.69694,499,50,3,7,1
0.161795591324327,77.74988,2499,50,3,7,1
0.181655976002476,149.95984,4999,50,3,7,1
0.142306923695404,33.383334,499,500,3,7,1
0.0229416588574258,95.812988,2499,500,3,7,1
0.0136205903112409,70.796194,4999,500,3,7,1
0.262673725876621,74.544086,499,1000,3,7,1
0.0076042423583822,42.453932,2499,1000,3,7,1
0.0327359798095502,238.771484,4999,1000,3,7,1
0.195742596445966,59.83208,499,50,6,7,1
0.0558838940444875,85.51764,2499,50,6,7,1
0.0532850329033876,141.29154,4999,50,6,7,1
0.266034594466756,99.849294,499,500,6,7,1
0.0366290175858615,85.185274,2499,500,6,7,1
0.0115984801925748,175.355494,4999,500,6,7,1
